Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
RIAU;Kabupaten Kepulauan Meranti;23.3;Medium;189.093;25.6;95.8;67.2;42.6;1;10;218;100;212;143
RIAU;Kabupaten Kuantan Singingi;22.4;Medium;322.462;9;92.3;59.7;35.8;2;25;258;133;458;242
RIAU;Kabupaten Pelalawan;21.2;Medium;517.039;9.5;94.9;54.2;60.2;4;14;149;191;472;248
RIAU;Kabupaten Rokan Hilir;29.7;Medium;727.362;7.1;93.4;100;3;4;20;148;246;710;627
RIAU;Kabupaten Rokan Hulu;25.8;Medium;724.449;10.3;91.3;99.8;48.3;6;22;472;224;463;215
RIAU;Kabupaten Siak;19;Low;499.770;5.2;97.9;77.2;45.8;2;15;268;185;430;348
RIAU;Kota Dumai;23;Medium;309.904;3.4;96.8;75.8;61.1;3;10;196;201;286;177
RIAU;Kota Pekanbaru;11.4;Low;1.160.343;2.8;98.9;82.8;38.6;31;21;481;1.714;177;217
KEP.RIAU;Kabupaten Bintan;20;Medium;159.518;6.4;91.3;91.1;39.2;2;15;165;173;291;447
KEP.RIAU;Kabupaten Karimun;17.6;Low;260.620;6.9;83;91.2;29.6;3;13;187;209;336;531
KEP.RIAU;Kabupaten Kepulauan Anambas;21.7;Medium;47.824;7.1;31;100;5.6;3;7;31;84;171;255
KEP.RIAU;Kabupaten Lingga;25.4;Medium;103.969;13.9;48.5;77.2;17.1;2;13;86;72;248;267
KEP.RIAU;Kabupaten Natuna;17.8;Low;82.656;5;71.6;83.8;26;2;14;50;71;230;359
KEP.RIAU;Kota Batam;17.5;Low;1.196.396;5.1;95.2;83.9;21.9;20;21;338;1.044;833;1.998
KEP.RIAU;Kota Tanjungpinang;18.8;Low;227.757;9.6;92;100;22.2;3;7;137;277;233;738
JAMBI;Kabupaten Batanghari;24.5;Medium;306.718;8.9;89;62;67.7;2;18;253;111;464;557
JAMBI;Kabupaten Bungo;22.9;Medium;367.194;6.4;85.8;70.4;34;5;19;151;163;692;780
JAMBI;Kabupaten Kerinci;26.7;Medium;251.911;7.3;87.3;89.5;54.7;0;21;245;90;471;634
JAMBI;Kabupaten Merangin;19.7;Low;355.719;10;92;93;39.5;3;27;199;166;1.029;714
JAMBI;Kabupaten Muaro Jambi;27.2;Medium;406.799;5;95.3;16.7;65.2;3;22;278;149;627;466
JAMBI;Kabupaten Sarolangun;21.4;Medium;293.600;9.2;93.7;61.9;62;2;16;191;117;480;431
JAMBI;Kabupaten Tanjung Jabung Barat;19.8;Low;320.606;11.3;81.2;0;16.4;2;16;163;87;519;457
JAMBI;Kabupaten Tanjung Jabung Timur;25.6;Medium;231.772;10.5;62;94.2;18.3;1;17;169;72;431;325
JAMBI;Kabupaten Tebo;26.2;Medium;340.868;7;93.1;68.3;81.3;2;20;212;89;588;425
JAMBI;Kota Jambi;17.4;Low;612.162;8.9;100;62.8;100;16;20;218;706;759;2.299
JAMBI;Kota Sungai Penuh;25;Medium;97.770;3.1;93.6;100;36.2;3;11;21;35;185;342
KEP. BABEL;Kabupaten Bangka;17.5;Low;337.286;4.8;99.5;74.1;82.7;7;12;169;370;392;1.029
KEP. BABEL;Kabupaten Bangka Barat;23.5;Medium;206.006;2.8;92.1;75;31.8;3;8;125;104;303;420
KEP. BABEL;Kabupaten Bangka Selatan;19.4;Low;199.355;3.9;96.1;76.3;81.1;2;10;64;68;226;336
KEP. BABEL;Kabupaten Bangka Tengah;20;Medium;194.432;5.2;98.1;100;71.4;4;9;83;163;212;374
KEP. BABEL;Kabupaten Belitung;13.8;Low;177.472;7.6;97.5;97;44.9;3;9;154;155;191;503
KEP. BABEL;Kabupaten Belitung Timur;22.6;Medium;126.886;7.3;99.2;41.6;84.6;1;7;112;72;144;380
